timestamp,bytes_sent,bytes_recv,packets_sent,packets_recv,bytes_sent_per_sec,bytes_recv_per_sec,packets_sent_per_sec,packets_recv_per_sec
20:54:51,16252870,981867970,107103,1682960,5510.0,240823.0,9.0,1142.0
20:54:52,16252870,981931678,107103,1683250,0.0,63708.0,0.0,290.0
20:54:53,16252870,982070521,107103,1683900,0.0,138843.0,0.0,650.0
20:54:54,16257578,982709019,107115,1684963,4708.0,638498.0,12.0,1063.0
20:54:55,16261800,982962077,107118,1685569,4222.0,253058.0,3.0,606.0
20:54:56,16261800,983349457,107118,1686889,0.0,387380.0,0.0,1320.0
20:54:57,16261800,983509656,107118,1687653,0.0,160199.0,0.0,764.0
20:54:58,16261910,983754929,107120,1688828,110.0,245273.0,2.0,1175.0
20:54:59,16261910,983923194,107120,1689608,0.0,168265.0,0.0,780.0
20:55:00,16261910,984118024,107120,1690517,0.0,194830.0,0.0,909.0
20:55:01,16266618,984802555,107132,1691550,4708.0,684531.0,12.0,1033.0
20:55:02,16266618,985314099,107132,1692616,0.0,511544.0,0.0,1066.0
20:55:03,16268740,985563568,107138,1693818,2122.0,249469.0,6.0,1202.0
20:55:04,16268849,985828416,107140,1695115,109.0,264848.0,2.0,1297.0
20:55:05,16274745,986530012,107174,1696367,5896.0,701596.0,34.0,1252.0
20:55:06,16278967,987131409,107177,1697832,4222.0,601397.0,3.0,1465.0
20:55:07,16278967,987390698,107177,1699020,0.0,259289.0,0.0,1188.0
20:55:08,16279104,987725122,107179,1700671,137.0,334424.0,2.0,1651.0
20:55:09,16279146,988025105,107180,1701970,42.0,299983.0,1.0,1299.0
20:55:10,16279146,988292370,107180,1703203,0.0,267265.0,0.0,1233.0
20:55:11,16291655,989046865,107219,1704462,12509.0,754495.0,39.0,1259.0
20:55:12,16293169,989328321,107220,1705776,1514.0,281456.0,1.0,1314.0
20:55:13,16293169,989548479,107220,1706299,0.0,220158.0,0.0,523.0
20:55:14,16293169,989920316,107220,1707390,0.0,371837.0,0.0,1091.0
20:55:15,16297607,990410687,107227,1708360,4438.0,490371.0,7.0,970.0
20:55:16,16301875,990637941,107231,1709445,4268.0,227254.0,4.0,1085.0
20:55:17,16301875,990774123,107231,1709946,0.0,136182.0,0.0,501.0
20:55:18,16305012,990989491,107238,1711054,3137.0,215368.0,7.0,1108.0
20:55:19,16310868,991624154,107271,1712406,5856.0,634663.0,33.0,1352.0
20:55:20,16315090,991893294,107274,1713669,4222.0,269140.0,3.0,1263.0
20:55:21,16315090,992185534,107274,1715030,0.0,292240.0,0.0,1361.0
20:55:22,16315090,992463975,107274,1716296,0.0,278441.0,0.0,1266.0
20:55:23,16315090,992604693,107274,1716955,0.0,140718.0,0.0,659.0
20:55:24,16320068,992882502,107291,1717908,4978.0,277809.0,17.0,953.0
20:55:25,16325316,993222607,107313,1718791,5248.0,340105.0,22.0,883.0
20:55:26,16329538,993417114,107316,1719702,4222.0,194507.0,3.0,911.0
20:55:27,16329620,993646022,107317,1720678,82.0,228908.0,1.0,976.0
20:55:28,16329675,993853385,107318,1721620,55.0,207363.0,1.0,942.0
20:55:29,16329675,994088293,107318,1722659,0.0,234908.0,0.0,1039.0
